PROCEDURE_CODE,DESCRIPTION,PAYER_NAME,LINE_OF_BUSINESS,ORG_NAME_ORG,CHARGE_PER_UNIT,PAID_AMT_PER_UNIT,ALLOWED_AMT_PER_UNIT
27438,"Arthroplasty, patella; with prosthesis",Medicare,Medicare,PIEDMONT HOSPITAL,19031,10318.71,19031
27438,"Arthroplasty, patella; with prosthesis",Aetna,Commercial,PIEDMONT HOSPITAL,17298,11629.7,13682
27438,"Arthroplasty, patella; with prosthesis",Medicare,Medicare,GEORGIA BONE & JOINT LLC,1755.6,188.69,235.3
27438,"Arthroplasty, patella; with prosthesis",Aetna,Commercial,ADVANCED CENTER FOR JOINT SURGERY LLC,,,
27438,"Arthroplasty, patella; with prosthesis",Medicare,Medicare,ADVANCED CENTER FOR JOINT SURGERY LLC,55000,6334.19,7917.74
27438,"Arthroplasty, patella; with prosthesis",Cigna,Commercial,SPECIALTY ORTHOPAEDICS PC,2556.75,406.55,747.39
27438,"Arthroplasty, patella; with prosthesis",Cigna,Commercial,PIEDMONT ATHENS REGIONAL MEDICAL CENTER,21475,11618.41,11618.41
27438,"Arthroplasty, patella; with prosthesis",Aetna,Commercial,SOUTHERN SURGICAL ASSISTANTS LLC,1275,205.82,257.27
27438,"Arthroplasty, patella; with prosthesis",Medicare,Medicare,PIEDMONT SURGERY CENTER,14800,6227.78,7784.72
27438,"Arthroplasty, patella; with prosthesis",Anthem,Commercial,PIEDMONT ORTHOPEDICS LLC,2939,1485.16,1980.21
27438,"Arthroplasty, patella; with prosthesis",Medicare,Medicare,PIEDMONT ORTHOPEDICS LLC,2939,689.56,855.78
27438,"Arthroplasty, patella; with prosthesis",Humana,Commercial,ADVANCED JOINT SURGERY SPECIALISTS LLC,2529,,1713.92
27438,"Arthroplasty, patella; with prosthesis",Aetna,Commercial,AOS SURGERY CENTER LLC,60000,7562.25,7762.25
27438,"Arthroplasty, patella; with prosthesis",Anthem,Commercial,AOS SURGERY CENTER LLC,60000,2476.23,2812.14
27438,"Arthroplasty, patella; with prosthesis",Aetna,Commercial,PEACHTREE ORTHOPEADIC SURGERY CENTER,20000,912.75,912.75
27438,"Arthroplasty, patella; with prosthesis",Anthem,Commercial,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,22257,239.41,1473.63
27438,"Arthroplasty, patella; with prosthesis",Anthem,Commercial,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,20000,2700,2700
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Anthem,Commercial,LAWRENCEVILLE SURGERY CENTER,14428,1473.63,1473.63
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Humana,Medicare,WELLSTAR WINDY HILL HOSPITAL,16611,,
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Anthem,Commercial,PIEDMONT ORTHOPEDICS LLC,608.8,287.38,287.38
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Medicare,Medicare,PIEDMONT ORTHOPEDICS LLC,3044,698.56,886.76
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Medicare,Medicare,REGENERATIVE OTHOPAEDICS SURGERY CENTER LLC,31613.7,6717.3,8396.63
27442,"Arthroplasty, femoral condyles or tibial plateau(s), knee;",Medicare,Medicare,PIEDMONT HENRY HOSPITAL,17298,10573.35,17298
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,14736.63,15392.01
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,14331.24,15965
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,15362.09,16440.09
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,8427.73,8745.07
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,19000,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,23966.67,9474.92,9750
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,PEACHTREE ORTHOPAEDIC SURG CTR AT PERIMETER LLC,35000,6905.54,8645.04
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NORTHSIDE HOSPITAL,16460.11,2842.92,3037.77
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,ELBERT MEMORIAL HOSPITAL,24463,9785.2,9785.2
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NORTHEAST GEORGIA MEDICAL CENTER,21024.46,11857.76,12217.14
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,RESURGENS FAYETTE SURGERY CENTER LLC,27783,10274.21,13515.68
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NORTHSIDE HOSPITAL-FORSYTH,24948,3424.2,4323.49
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,RESURGENS EAST SURGERY CENTER LLC,27783,6933.75,8689.05
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,RESURGENS FAYETTE SURGERY CENTER LLC,27783,12162.53,14357.52
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,RESURGENS EAST SURGERY CENTER LLC,27783,10753.74,12135.62
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,RESURGENS EAST SURGERY CENTER LLC,27783,8249.03,8524.03
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,EMORY WESLEY WOODS GERIATRIC HOSPITAL,7231.25,11653.76,12038.76
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,ADVENT HEALTH HOME CARE GORDON,65265,,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,RESURGENS FAYETTE SURGERY CENTER LLC,27783,11065.95,11497.28
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,RESURGENS FAYETTE SURGERY CENTER LLC,18702.62,5859.9,4262.15
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,RESURGENS FAYETTE SURGERY CENTER LLC,27783,6840.43,8568.03
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,RESURGENS EAST SURGERY CENTER LLC,27783,11627.43,12300
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,RESURGENS EAST SURGERY CENTER LLC,27783,9999.08,10713.03
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,EMORY WESLEY WOODS GERIATRIC HOSPITAL,8734.92,11524.39,12371.94
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,ADVENT HEALTH HOME CARE GORDON,45926.49,10526.52,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,3053.22,1847.18,2771.08
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,2697.76,795.83,800.84
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,42463.06,3472.29,3541.09
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,42844.17,23627.14,27843.75
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,RESURGENS SURGERY CENTER LLC,35184,8651.09,8746.09
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,RESURGENS SURGERY CENTER LLC,35418.67,10076.09,11000
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,WELLSTAR PAULDING HOSPITAL,20170.5,3082,3707
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,WELLSTAR PAULDING HOSPITAL,19691.86,11456.76,12220.49
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,42378.29,9826.63,10840.15
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,RESURGENS SURGERY CENTER LLC,35440,5749.91,5882.18
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,2673.16,1328.87,1464.66
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,2638.35,602.29,746.89
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,WELLSTAR PAULDING HOSPITAL,21696,12247.84,12539.84
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,EMORY UNIVERSITY HOSPITAL MIDTOWN,12291.33,11148.06,12105.4
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,RESURGENS SURGERY CENTER LLC,35590.15,21631.83,23149.76
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,RESURGENS SURGERY CENTER LLC,35649.36,6888.37,8647.09
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,42648.5,8420.3,8745.07
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,NORTHWEST GA ORTHOPAEDIC SURGERY CENTER,42438.33,6881.14,8628.8
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,2668.08,1023.01,1221.22
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,2892.53,837.53,842.16
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,PINNACLE ORTHOPAEDICS & SPORTS MEDICINE SPECIALISTS LLC,4362,3590.88,3590.88
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,CHATHAM ORTHOPAEDIC SURGERY CENTER,23075,10339.14,12576.02
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,EASTSIDE ORTHOCARE LLC,4667,789.17,789.17
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,LEGEND ORTHOPEDICS,3421.38,2005.66,2035.01
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,CARTERSVILLE MEDICAL CENTER,,,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,CHATHAM ORTHOPAEDIC SURGERY CENTER,23075,8582.67,10192.31
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,CARTERSVILLE MEDICAL CENTER,56201,,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,CARTERSVILLE MEDICAL CENTER,37301.33,10832.53,11802.71
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,CHATHAM ORTHOPAEDIC SURGERY CENTER,21335.42,7487.61,8177.1
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,CHATHAM ORTHOPAEDIC SURGERY CENTER,27780.2,6413.98,8050.04
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,EASTSIDE ORTHOCARE LLC,4667,741.28,740.32
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,GLYNCO IMMEDIATE CARE CENTER,4895.78,1069.66,1095.46
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,PEACHTREE ORTHOPEADIC SURGERY CENTER,35000,12959,15615.5
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PEACHTREE ORTHOPEADIC SURGERY CENTER,35000,13947.14,14308.9
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,PEACHTREE ORTHOPEADIC SURGERY CENTER,35000,14876.8,15965
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,PEACHTREE ORTHOPEADIC SURGERY CENTER,32158.33,9403.75,9750
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,PEACHTREE ORTHOPEADIC SURGERY CENTER,35000,16686.01,19000
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,PEACHTREE ORTHOPEADIC SURGERY CENTER,35000,6893.02,8631.22
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,EMORY SAINT JOSEPH'S HOSPITAL OF ATLANTA,8755.07,11758.15,12070.15
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,EMORY SAINT JOSEPH'S HOSPITAL OF ATLANTA,8024.42,,25226
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PERRY HOSPITAL,22300,9897.82,10170.31
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PINNACLE ORTHO SURG CTR - WOODSTOCK LLC,16803.98,8927.08,9309.87
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,EMORY SAINT JOSEPH'S HOSPITAL OF ATLANTA,4576,4156.23,4576
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,EMORY SAINT JOSEPH'S HOSPITAL OF ATLANTA,9194.55,10569.17,11064.42
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PIEDMONT WALTON HOSPITAL INC,22718.73,11820.99,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,PIEDMONT WALTON HOSPITAL INC,23641.67,10550.6,10550.6
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,PIEDMONT WALTON HOSPITAL INC,24218,10735.43,10735.43
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,PIEDMONT WALTON HOSPITAL INC,21680.01,11426.73,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,ADVENTHEALTH GORDON,43654.33,17697.02,17998.67
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,ADVENTHEALTH GORDON,54214.42,1700.79,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,PIEDMONT WALTON HOSPITAL INC,25947,17386.77,17386.77
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,ADVENTHEALTH GORDON,52855.74,10364.4,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,ADVENTHEALTH GORDON,50322.22,12707,14534.16
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,ADVENTHEALTH GORDON,45422.23,10528.13,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Commercial,ADVANCED JOINT SURGERY SPECIALISTS LLC,4480.96,2111.48,2606.07
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,NORTHEAST GEORGIA PHYSICIANS GROUP INC.,3570.49,1022.34,1145.38
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,ADVANCED JOINT SURGERY SPECIALISTS LLC,4416.44,1209.93,1223.29
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Humana,Medicare,ADVANCED JOINT SURGERY SPECIALISTS LLC,4371.66,1185.78,1201.41
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,PIEDMONT MACON NORTH,33424.13,14961.92,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,PIEDMONT MACON NORTH,40388.25,11787.67,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,OLYMPIAN SURGICAL ASSISTANTS,9000,151.06,151.06
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,NORTHEAST GEORGIA PHYSICIANS GROUP INC.,3817.5,1699.82,2888.3
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,PIEDMONT MACON NORTH,34816.95,11592.47,
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,UNION GENERAL HOSPITAL,8054.5,12750,12750
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,MYERS SPORTS MEDICINE AND ORTHOPAEDIC CENTER,3250.15,2951.14,2951.14
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Aetna,Commercial,LAWRENCEVILLE SURGERY CENTER,40794,9986.25,10650.68
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,LAWRENCEVILLE SURGERY CENTER,40794,14179.19,13505.13
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Commercial,LAWRENCEVILLE SURGERY CENTER,40794,24061.52,26516.1
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Medicare,Medicare,LAWRENCEVILLE SURGERY CENTER,40794,6869.15,8627.57
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Anthem,Medicaid,LAWRENCEVILLE SURGERY CENTER,40794,8468.67,8634.04
27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",Cigna,Commercial,ST. MARY'S HEALTH CARE SYSTEM,13575.93,11385.43,12225.39
